"ANO","MODELO","QUANTIDADE_DE_URNAS"
"2020","HILUX",15
"2011","L200",8
"2020","ETIOS",4
"2015","ETIOS",4
"2014","L200",16
"2020","Onibus",40
"2022","VAN (24 LUGARES)",40
"2021","MASCA ",40
"2015","ETIOS ",4
"2015","SW4",5
"2021","S10",15
"2024","FRONTIER",12
"2021","FRONTIER",15
"2022","S10",12
"2023","HILUX",12
"2022","Van16 lugares",60
